TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
11.0,100.0,60,1.0
5.0,80.0,48,1.0
11.0,98.0,48,1.0
11.0,80.0,60,1.0
11.0,82.0,48,1.0
11.0,84.0,6,1.0
13.0,85.0,48,1.0
5.0,100.0,60,1.0
11.0,92.0,48,1.0
11.0,88.0,6,1.0
11.0,95.0,48,1.0
11.0,97.0,60,1.0
11.0,100.0,60,1.0
5.0,100.0,60,1.0
5.0,88.0,60,1.0
11.0,96.0,6,1.0
11.0,70.0,54,1.0
11.0,95.0,60,1.0
11.0,77.0,42,1.0
11.0,83.0,60,1.0
11.0,83.0,60,1.0
5.0,100.0,39,1.0
11.0,88.0,60,1.0
11.0,96.0,54,1.0
7.0,68.0,48,1.0
13.0,86.0,33,1.0
11.0,100.0,54,1.0
11.0,93.0,48,1.0
11.0,100.0,60,1.0
11.0,88.0,20,1.0
11.0,73.0,24,1.0
11.0,100.0,39,1.0
13.0,100.0,21,1.0
5.0,100.0,48,1.0
11.0,83.0,36,1.0
11.0,100.0,48,1.0
5.0,82.0,12,1.0
11.0,100.0,27,1.0
11.0,71.0,12,1.0
11.0,82.0,24,1.0
11.0,100.0,48,1.0
11.0,100.0,48,1.0
13.0,70.0,18,1.0
11.0,85.0,33,1.0
11.0,100.0,48,1.0
11.0,100.0,39,1.0
11.0,100.0,48,1.0
11.0,100.0,42,1.0
11.0,100.0,48,1.0
11.0,80.0,33,1.0
11.0,78.0,24,1.0
11.0,82.0,39,1.0
13.0,84.0,24,1.0
11.0,100.0,42,1.0
5.0,100.0,42,1.0
11.0,98.0,42,1.0
11.0,80.0,42,1.0
11.0,94.0,39,1.0
11.0,73.0,18,1.0
11.0,100.0,42,1.0
11.0,77.0,27,1.0
11.0,100.0,36,1.0
7.0,90.0,27,1.0
11.0,87.0,39,1.0
11.0,98.0,39,1.0
11.0,98.0,42,1.0
11.0,86.0,48,1.0
11.0,95.0,33,1.0
11.0,92.0,48,1.0
13.0,94.0,27,1.0
11.0,100.0,27,1.0
7.0,87.0,33,1.0
11.0,86.0,27,1.0
11.0,100.0,48,1.0
13.0,64.0,42,1.0
13.0,96.0,33,1.0
11.0,94.0,42,1.0
11.0,97.0,33,1.0
13.0,94.0,33,1.0
11.0,95.0,33,1.0
13.0,91.0,24,1.0
12.0,88.0,24,1.0
11.0,85.0,42,1.0
11.0,81.0,18,1.0
11.0,100.0,42,1.0
11.0,100.0,42,1.0
13.0,87.0,36,1.0
11.0,96.0,42,1.0
11.0,90.0,27,1.0
11.0,75.0,48,1.0
11.0,100.0,18,1.0
13.0,97.0,27,1.0
11.0,88.0,39,1.0
11.0,90.0,48,1.0
11.0,100.0,42,1.0
11.0,100.0,33,1.0
13.0,73.0,18,1.0
11.0,100.0,27,1.0
11.0,82.0,39,1.0
11.0,100.0,33,1.0
5.0,100.0,42,1.0
11.0,87.0,42,1.0
11.0,78.0,21,1.0
11.0,100.0,42,1.0
11.0,94.0,48,1.0
11.0,80.0,42,1.0
11.0,78.0,24,1.0
11.0,99.0,21,1.0
7.0,99.0,48,1.0
11.0,90.0,48,1.0
5.0,99.0,36,1.0
5.0,95.0,30,1.0
11.0,100.0,42,1.0
5.0,100.0,42,1.0
5.0,100.0,33,1.0
11.0,100.0,42,1.0
8.0,100.0,21,1.0
11.0,100.0,30,1.0
11.0,87.0,18,1.0
11.0,83.0,30,1.0
11.0,100.0,36,1.0
11.0,87.0,42,1.0
11.0,70.0,6,1.0
13.0,79.0,18,1.0
11.0,86.0,27,1.0
11.0,100.0,33,1.0
11.0,97.0,39,1.0
11.0,89.0,24,1.0
11.0,74.0,9,0.0
11.0,86.0,33,0.0
11.0,100.0,54,0.0
11.0,100.0,54,1.0
11.0,83.0,27,1.0
11.0,88.0,42,1.0
11.0,95.0,48,1.0
11.0,100.0,42,1.0
11.0,93.0,18,0.0
6.0,94.0,6,1.0
11.0,100.0,54,0.0
5.0,87.0,42,1.0
11.0,83.0,30,1.0
11.0,100.0,6,1.0
11.0,92.0,15,1.0
11.0,78.0,30,1.0
7.0,82.0,48,1.0
11.0,81.0,54,0.0
11.0,83.0,24,1.0
11.0,96.0,42,1.0
11.0,83.0,48,1.0
11.0,72.0,9,1.0
11.0,100.0,54,0.0
13.0,100.0,48,1.0
11.0,78.0,36,1.0
13.0,70.0,45,1.0
11.0,83.0,9,1.0
11.0,90.0,42,1.0
10.0,100.0,54,0.0
11.0,100.0,48,1.0
11.0,86.0,54,1.0
11.0,86.0,36,1.0
11.0,72.0,54,1.0
11.0,85.0,42,1.0
11.0,85.0,54,0.0
11.0,90.0,54,0.0
9.0,88.0,33,1.0
11.0,98.0,21,1.0
11.0,73.0,27,1.0
11.0,100.0,54,0.0
11.0,80.0,54,1.0
11.0,100.0,42,1.0
11.0,62.0,18,1.0
11.0,100.0,48,0.0
11.0,85.0,15,1.0
13.0,75.0,15,1.0
8.0,100.0,54,1.0
5.0,91.0,15,1.0
11.0,77.0,6,1.0
11.0,71.0,33,1.0
6.0,78.0,33,1.0
13.0,100.0,21,1.0
13.0,92.0,9,1.0
11.0,78.0,42,1.0
11.0,70.0,36,1.0
11.0,76.0,18,1.0
13.0,96.0,42,1.0
13.0,77.0,15,1.0
11.0,78.0,30,1.0
5.0,100.0,54,1.0
13.0,98.0,30,1.0
11.0,88.0,36,1.0
5.0,89.0,42,1.0
11.0,87.0,36,1.0
11.0,100.0,54,0.0
5.0,82.0,24,1.0
11.0,83.0,6,1.0
11.0,100.0,54,0.0
13.0,96.0,54,1.0
6.0,80.0,30,1.0
13.0,97.0,36,1.0
11.0,90.0,18,1.0
10.0,68.0,9,1.0
13.0,91.0,39,1.0
11.0,95.0,54,0.0
11.0,93.0,15,1.0
11.0,92.0,42,1.0
11.0,84.0,30,1.0
11.0,70.0,15,1.0
11.0,100.0,24,1.0
11.0,82.0,54,0.0
11.0,100.0,27,1.0
13.0,100.0,9,1.0
11.0,81.0,30,1.0
11.0,69.0,9,1.0
11.0,77.0,15,1.0
11.0,100.0,42,1.0
11.0,80.0,9,1.0
6.0,96.0,27,1.0
13.0,60.0,30,1.0
11.0,100.0,54,0.0
11.0,100.0,21,1.0
11.0,70.0,9,1.0
11.0,81.0,36,1.0
11.0,68.0,6,1.0
11.0,94.0,30,1.0
11.0,100.0,54,0.0
11.0,100.0,12,1.0
13.0,90.0,9,1.0
7.0,85.0,36,1.0
11.0,100.0,42,1.0
11.0,69.0,42,1.0
6.0,80.0,33,1.0
13.0,75.0,21,1.0
11.0,75.0,48,1.0
11.0,75.0,15,1.0
11.0,78.0,9,1.0
11.0,81.0,42,1.0
11.0,100.0,54,1.0
11.0,95.0,42,1.0
7.0,71.0,30,1.0
11.0,95.0,54,1.0
11.0,88.0,18,1.0
11.0,70.0,24,1.0
7.0,71.0,9,1.0
11.0,96.0,30,1.0
11.0,88.0,42,1.0
11.0,90.0,9,1.0
7.0,84.0,15,1.0
11.0,91.0,30,1.0
11.0,90.0,6,1.0
11.0,75.0,15,1.0
13.0,89.0,15,1.0
5.0,85.0,18,1.0
11.0,95.0,54,1.0
11.0,83.0,48,1.0
11.0,87.0,9,1.0
11.0,89.0,48,1.0
11.0,87.0,15,1.0
11.0,85.0,54,0.0
11.0,70.0,30,1.0
11.0,84.0,21,1.0
11.0,88.0,6,1.0
11.0,80.0,30,1.0
11.0,80.0,15,1.0
11.0,87.0,33,1.0
11.0,92.0,48,1.0
5.0,92.0,48,1.0
11.0,77.0,15,1.0
11.0,84.0,24,1.0
5.0,94.0,15,1.0
11.0,74.0,36,1.0
7.0,75.0,6,1.0
11.0,72.0,9,1.0
11.0,87.0,36,1.0
5.0,80.0,15,1.0
11.0,83.0,15,1.0
12.0,61.0,30,1.0
11.0,64.0,9,1.0
11.0,76.0,9,1.0
11.0,86.0,42,1.0
11.0,100.0,48,1.0
11.0,100.0,54,0.0
11.0,97.0,42,1.0
11.0,100.0,54,0.0
11.0,86.0,42,1.0
11.0,100.0,54,1.0
5.0,81.0,9,1.0
11.0,90.0,36,1.0
11.0,87.0,36,1.0
11.0,63.0,15,1.0
13.0,90.0,54,0.0
6.0,95.0,36,1.0
11.0,95.0,48,0.0
11.0,65.0,21,1.0
11.0,100.0,48,0.0
11.0,85.0,48,1.0
11.0,96.0,54,0.0
11.0,97.0,42,1.0
11.0,100.0,42,1.0
11.0,68.0,21,1.0
11.0,90.0,42,0.0
11.0,85.0,24,1.0
11.0,93.0,6,1.0
5.0,66.0,15,1.0
11.0,97.0,24,1.0
11.0,100.0,48,1.0
11.0,91.0,48,1.0
5.0,78.0,36,1.0
11.0,94.0,42,1.0
11.0,65.0,6,1.0
11.0,100.0,42,1.0
11.0,83.0,30,1.0
11.0,100.0,54,0.0
11.0,80.0,30,1.0
11.0,84.0,54,0.0
11.0,82.0,36,1.0
11.0,100.0,42,1.0
13.0,88.0,15,1.0
11.0,93.0,30,1.0
12.0,62.0,6,1.0
11.0,64.0,36,1.0
11.0,64.0,9,1.0
11.0,100.0,54,0.0
11.0,86.0,54,0.0
11.0,100.0,48,1.0
11.0,97.0,48,1.0
11.0,89.0,15,1.0
11.0,70.0,15,1.0
11.0,68.0,42,1.0
11.0,90.0,9,1.0
11.0,78.0,36,1.0
11.0,90.0,48,1.0
7.0,100.0,54,1.0
11.0,91.0,42,1.0
11.0,75.0,48,0.0
11.0,100.0,48,1.0
11.0,73.0,42,1.0
11.0,86.0,33,1.0
11.0,93.0,42,1.0
11.0,87.0,24,1.0
13.0,85.0,33,1.0
11.0,100.0,24,1.0
11.0,86.0,48,1.0
11.0,82.0,42,1.0
11.0,72.0,15,1.0
11.0,87.0,15,1.0
13.0,89.0,36,1.0
11.0,100.0,54,0.0
11.0,80.0,42,1.0
11.0,79.0,36,1.0
6.0,86.0,42,1.0
11.0,100.0,48,0.0
11.0,94.0,15,1.0
11.0,100.0,36,1.0
11.0,83.0,36,1.0
11.0,79.0,24,1.0
11.0,82.0,21,1.0
6.0,64.0,36,1.0
13.0,74.0,9,1.0
5.0,96.0,24,1.0
11.0,67.0,42,1.0
11.0,88.0,27,1.0
5.0,96.0,27,1.0
11.0,100.0,54,0.0
11.0,100.0,54,0.0
6.0,96.0,36,1.0
5.0,96.0,48,1.0
13.0,81.0,15,1.0
11.0,100.0,54,0.0
11.0,82.0,42,1.0
11.0,79.0,15,1.0
11.0,84.0,24,1.0
11.0,96.0,30,1.0
13.0,89.0,27,1.0
11.0,68.0,30,1.0
13.0,98.0,18,1.0
13.0,72.0,27,1.0
11.0,100.0,48,1.0
11.0,94.0,36,1.0
11.0,88.0,15,1.0
6.0,98.0,42,0.0
11.0,93.0,42,1.0
11.0,100.0,54,0.0
11.0,84.0,36,1.0
11.0,62.0,21,1.0
13.0,90.0,6,1.0
11.0,75.0,12,1.0
11.0,100.0,48,1.0
11.0,87.0,42,1.0
13.0,100.0,30,1.0
11.0,84.0,48,0.0
11.0,81.0,15,1.0
7.0,85.0,24,1.0
13.0,92.0,36,1.0
13.0,86.0,27,1.0
11.0,86.0,48,1.0
13.0,80.0,6,1.0
11.0,62.0,15,1.0
6.0,65.0,27,1.0
11.0,77.0,36,1.0
13.0,74.0,42,1.0
11.0,68.0,36,1.0
11.0,95.0,9,1.0
5.0,100.0,42,1.0
6.0,96.0,48,1.0
11.0,63.0,15,1.0
11.0,94.0,42,0.0
11.0,86.0,21,1.0
11.0,84.0,42,1.0
11.0,91.0,42,1.0
5.0,100.0,54,0.0
5.0,83.0,30,1.0
11.0,78.0,48,1.0
5.0,78.0,24,1.0
11.0,89.0,42,1.0
11.0,100.0,54,0.0
5.0,65.0,36,1.0
11.0,68.0,30,1.0
5.0,81.0,36,1.0
11.0,74.0,42,1.0
11.0,86.0,30,1.0
13.0,86.0,36,1.0
13.0,100.0,42,1.0
11.0,82.0,18,1.0
11.0,100.0,48,0.0
13.0,75.0,9,1.0
11.0,90.0,36,1.0
11.0,80.0,24,1.0
11.0,100.0,30,1.0
9.0,73.0,6,1.0
11.0,96.0,36,1.0
6.0,67.0,42,1.0
11.0,100.0,48,1.0
13.0,70.0,9,1.0
11.0,64.0,15,1.0
11.0,82.0,48,1.0
11.0,80.0,42,1.0
7.0,60.0,24,1.0
11.0,70.0,21,1.0
13.0,83.0,36,1.0
11.0,65.0,36,1.0
11.0,85.0,42,1.0
13.0,87.0,48,1.0
13.0,76.0,42,1.0
6.0,48.0,21,1.0
11.0,97.0,9,1.0
11.0,72.0,21,1.0
8.0,69.0,6,1.0
11.0,97.0,36,1.0
13.0,80.0,30,1.0
11.0,84.0,18,1.0
13.0,78.0,21,1.0
11.0,73.0,9,1.0
11.0,100.0,54,0.0
11.0,100.0,36,1.0
12.0,89.0,54,0.0
11.0,80.0,48,1.0
11.0,100.0,48,0.0
11.0,91.0,33,1.0
11.0,100.0,54,0.0
11.0,80.0,42,0.0
11.0,100.0,54,0.0
7.0,95.0,54,0.0
11.0,100.0,54,0.0
11.0,78.0,42,1.0
11.0,75.0,9,1.0
11.0,83.0,42,1.0
11.0,100.0,54,0.0
11.0,82.0,48,1.0
11.0,89.0,54,0.0
11.0,80.0,54,0.0
11.0,88.0,54,0.0
11.0,100.0,48,1.0
11.0,68.0,33,1.0
7.0,100.0,42,1.0
11.0,86.0,54,0.0
11.0,100.0,48,0.0
11.0,100.0,54,0.0
11.0,90.0,36,1.0
11.0,74.0,48,1.0
11.0,100.0,54,0.0
11.0,85.0,9,1.0
11.0,100.0,54,0.0
7.0,93.0,42,1.0
11.0,87.0,54,0.0
11.0,100.0,42,1.0
11.0,94.0,48,1.0
11.0,65.0,48,1.0
5.0,93.0,54,0.0
5.0,83.0,54,0.0
11.0,98.0,48,0.0
11.0,70.0,54,0.0
11.0,67.0,30,1.0
11.0,100.0,54,0.0
11.0,100.0,54,0.0
5.0,80.0,48,0.0
11.0,100.0,54,0.0
11.0,100.0,54,0.0
11.0,68.0,48,1.0
11.0,96.0,54,0.0
11.0,64.0,9,1.0
11.0,70.0,30,1.0
11.0,90.0,42,0.0
11.0,100.0,54,0.0
11.0,98.0,15,1.0
11.0,100.0,54,0.0
13.0,95.0,42,1.0
11.0,74.0,6,1.0
7.0,86.0,36,1.0
11.0,66.0,18,1.0
11.0,80.0,36,1.0
11.0,95.0,48,0.0
11.0,77.0,6,1.0
6.0,92.0,36,1.0
13.0,100.0,54,0.0
5.0,91.0,54,0.0
11.0,86.0,30,1.0
11.0,82.0,36,1.0
11.0,76.0,42,0.0
11.0,100.0,36,1.0
11.0,82.0,42,1.0
11.0,78.0,54,0.0
13.0,80.0,42,1.0
11.0,100.0,48,1.0
5.0,100.0,48,1.0
11.0,82.0,48,0.0
11.0,77.0,15,1.0
7.0,90.0,54,1.0
11.0,60.0,54,1.0
11.0,100.0,21,1.0
11.0,80.0,36,1.0
5.0,85.0,48,1.0
11.0,88.0,54,0.0
5.0,85.0,33,1.0
11.0,79.0,42,0.0
5.0,96.0,42,1.0
11.0,80.0,30,1.0
11.0,90.0,54,0.0
11.0,95.0,57,1.0
11.0,78.0,48,1.0
5.0,100.0,15,1.0
13.0,100.0,30,1.0
13.0,83.0,36,1.0
11.0,91.0,48,0.0
13.0,98.0,48,1.0
11.0,88.0,24,1.0
11.0,90.0,48,1.0
11.0,66.0,15,1.0
11.0,91.0,27,1.0
11.0,90.0,42,1.0
11.0,100.0,54,0.0
11.0,80.0,36,1.0
11.0,68.0,9,1.0
11.0,80.0,36,1.0
11.0,100.0,42,1.0
11.0,83.0,36,1.0
11.0,80.0,36,1.0
13.0,98.0,54,1.0
13.0,75.0,6,1.0
11.0,83.0,36,1.0
13.0,100.0,48,0.0
11.0,66.0,24,1.0
11.0,96.0,42,1.0
13.0,80.0,30,1.0
11.0,76.0,54,0.0
