"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Tecnico'"", 70, 1018]"
"[""'Scientifica'"", 85, 1033]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 100, 1039]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 80, 1033]"
"[""'Scientifica'"", 78, 1024]"
"[""'Scientifica'"", 82, 1039]"
"[""'Tecnico'"", 84, 1024]"
"[""'Scientifica'"", 100, 1042]"
"[""'Classica'"", 100, 1042]"
"[""'Scientifica'"", 98, 1042]"
"[""'Scientifica'"", 80, 1042]"
"[""'Scientifica'"", 94, 1039]"
"[""'Scientifica'"", 73, 1018]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 77, 1027]"
"[""'Scientifica'"", 100, 1036]"
"[""'Liceo-Europeo'"", 90, 1027]"
"[""'Scientifica'"", 87, 1039]"
"[""'Scientifica'"", 98, 1039]"
"[""'Scientifica'"", 98, 1042]"
"[""'Scientifica'"", 86, 1048]"
"[""'Scientifica'"", 95, 1033]"
"[""'Scientifica'"", 92, 1048]"
"[""'Tecnico'"", 94, 1027]"
"[""'Scientifica'"", 100, 1027]"
"[""'Liceo-Europeo'"", 87, 1033]"
"[""'Scientifica'"", 86, 1027]"
"[""'Scientifica'"", 100, 1048]"
"[""'Tecnico'"", 64, 1042]"
"[""'Tecnico'"", 96, 1033]"
"[""'Scientifica'"", 94, 1042]"
"[""'Scientifica'"", 97, 1033]"
"[""'Tecnico'"", 94, 1033]"
"[""'Scientifica'"", 95, 1033]"
"[""'Tecnico'"", 91, 1024]"
"[""'Socio-Psico-Pedagogico'"", 88, 1024]"
"[""'Scientifica'"", 85, 1042]"
"[""'Scientifica'"", 81, 1018]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 100, 1042]"
"[""'Tecnico'"", 87, 1036]"
"[""'Scientifica'"", 96, 1042]"
"[""'Scientifica'"", 90, 1027]"
"[""'Scientifica'"", 75, 1048]"
"[""'Scientifica'"", 100, 1018]"
"[""'Tecnico'"", 97, 1027]"
"[""'Scientifica'"", 88, 1039]"
"[""'Scientifica'"", 90, 1048]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 100, 1033]"
"[""'Tecnico'"", 73, 1018]"
"[""'Scientifica'"", 100, 1027]"
"[""'Scientifica'"", 82, 1039]"
"[""'Scientifica'"", 100, 1033]"
"[""'Classica'"", 100, 1042]"
"[""'Scientifica'"", 87, 1042]"
"[""'Scientifica'"", 78, 1021]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 94, 1048]"
"[""'Scientifica'"", 80, 1042]"
"[""'Scientifica'"", 78, 1024]"
"[""'Scientifica'"", 99, 1021]"
"[""'Liceo-Europeo'"", 99, 1048]"
"[""'Scientifica'"", 90, 1048]"
"[""'Classica'"", 99, 1036]"
"[""'Classica'"", 95, 1030]"
"[""'Scientifica'"", 100, 1042]"
"[""'Classica'"", 100, 1042]"
"[""'Classica'"", 100, 1033]"
"[""'Scientifica'"", 100, 1042]"
"[""'Linguistico'"", 100, 1021]"
"[""'Scientifica'"", 100, 1030]"
"[""'Scientifica'"", 87, 1018]"
"[""'Scientifica'"", 83, 1030]"
"[""'Scientifica'"", 100, 1036]"
"[""'Scientifica'"", 87, 1042]"
"[""'Scientifica'"", 70, 1006]"
"[""'Tecnico'"", 79, 1018]"
"[""'Scientifica'"", 86, 1027]"
"[""'Scientifica'"", 100, 1033]"
"[""'Scientifica'"", 97, 1039]"
"[""'Scientifica'"", 89, 1024]"
"[""'Scientifica'"", 74, 1009]"
"[""'Scientifica'"", 86, 1033]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 83, 1027]"
"[""'Scientifica'"", 88, 1042]"
"[""'Scientifica'"", 95, 1048]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 93, 1018]"
"[""'Geometra'"", 94, 1006]"
"[""'Scientifica'"", 100, 1054]"
"[""'Classica'"", 87, 1042]"
"[""'Scientifica'"", 83, 1030]"
"[""'Scientifica'"", 100, 1006]"
"[""'Scientifica'"", 92, 1015]"
"[""'Scientifica'"", 78, 1030]"
"[""'Liceo-Europeo'"", 82, 1048]"
"[""'Scientifica'"", 81, 1054]"
"[""'Scientifica'"", 83, 1024]"
"[""'Scientifica'"", 96, 1042]"
"[""'Scientifica'"", 83, 1048]"
"[""'Scientifica'"", 72, 1009]"
"[""'Scientifica'"", 100, 1054]"
"[""'Tecnico'"", 100, 1048]"
"[""'Scientifica'"", 78, 1036]"
"[""'Tecnico'"", 70, 1045]"
"[""'Scientifica'"", 83, 1009]"
"[""'Scientifica'"", 90, 1042]"
"[""'Ragioneria'"", 100, 1054]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 86, 1054]"
"[""'Scientifica'"", 86, 1036]"
"[""'Scientifica'"", 72, 1054]"
"[""'Scientifica'"", 85, 1042]"
"[""'Scientifica'"", 85, 1054]"
"[""'Scientifica'"", 90, 1054]"
"[""'Nautico'"", 88, 1033]"
"[""'Scientifica'"", 98, 1021]"
"[""'Scientifica'"", 73, 1027]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 80, 1054]"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 62, 1018]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 85, 1015]"
"[""'Tecnico'"", 75, 1015]"
"[""'Linguistico'"", 100, 1054]"
"[""'Classica'"", 91, 1015]"
"[""'Scientifica'"", 77, 1006]"
"[""'Scientifica'"", 71, 1033]"
"[""'Geometra'"", 78, 1033]"
"[""'Tecnico'"", 100, 1021]"
"[""'Tecnico'"", 92, 1009]"
"[""'Scientifica'"", 78, 1042]"
"[""'Scientifica'"", 70, 1036]"
"[""'Scientifica'"", 76, 1018]"
"[""'Tecnico'"", 96, 1042]"
